step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K Q_A Q_H Q_B f_pol r_AH
217 217.000000 5.0964996048 66.6707915315 71.7672911363 106.860756 -0.51078689 0.50000000 0.01078689 0.02157379 1.01837878
218 218.000000 5.0412789102 66.7282946498 71.7695735600 105.702918 -0.51095082 0.50000000 0.01095082 0.02190163 1.02168274
219 219.000000 5.0104626816 66.7592989985 71.7697616801 105.056779 -0.51095212 0.50000000 0.01095212 0.02190424 1.02170874
220 220.000000 5.0071462866 66.7604119490 71.7675582356 104.987242 -0.51078411 0.50000000 0.01078411 0.02156822 1.01832206
221 221.000000 5.0105456000 66.7539008442 71.7644464443 105.058517 -0.51049426 0.50000000 0.01049426 0.02098852 1.01229361
222 222.000000 4.9949857023 66.7676544840 71.7626401863 104.732266 -0.51016538 0.50000000 0.01016538 0.02033077 1.00515037
223 223.000000 4.9558657000 66.8071954948 71.7630611948 103.912018 -0.50988628 0.50000000 0.00988628 0.01977256 0.99881654
224 224.000000 4.9159005784 66.8483288463 71.7642294247 103.074050 -0.50972642 0.50000000 0.00972642 0.01945285 0.99506919
225 225.000000 4.9004719106 66.8635744221 71.7640463328 102.750550 -0.50972155 0.50000000 0.00972155 0.01944310 0.99495349
226 226.000000 4.9079367555 66.8547131318 71.7626498874 102.907069 -0.50986841 0.50000000 0.00986841 0.01973681 0.99840198
227 227.000000 4.9115507618 66.8506913927 71.7622421545 102.982845 -0.51012508 0.50000000 0.01012508 0.02025015 1.00425151
228 228.000000 4.8908237156 66.8732957356 71.7641194513 102.548251 -0.51041728 0.50000000 0.01041728 0.02083456 1.01065129
229 229.000000 4.8540005435 66.9130901047 71.7670906483 101.776162 -0.51065472 0.50000000 0.01065472 0.02130945 1.01566076
230 230.000000 4.8282208105 66.9405782253 71.7687990358 101.235626 -0.51075844 0.50000000 0.01075844 0.02151688 1.01779775
231 231.000000 4.8315685504 66.9362748768 71.7678434272 101.305820 -0.51069038 0.50000000 0.01069038 0.02138076 1.01639891
232 232.000000 4.8553564060 66.9094988292 71.7648552352 101.804591 -0.51046951 0.50000000 0.01046951 0.02093902 1.01176751
233 233.000000 4.8723352925 66.8897394178 71.7620747103 102.160596 -0.51016390 0.50000000 0.01016390 0.02032780 1.00511740
234 234.000000 4.8642523751 66.8972201739 71.7614725490 101.991117 -0.50986400 0.50000000 0.00986400 0.01972800 0.99829965
235 235.000000 4.8424929128 66.9201750031 71.7626679159 101.534876 -0.50965255 0.50000000 0.00965255 0.01930510 0.99330667
236 236.000000 4.8366250170 66.9266862380 71.7633112550 101.411841 -0.50958365 0.50000000 0.00958365 0.01916729 0.99164481
237 237.000000 4.8598004040 66.9024227403 71.7622231443 101.897771 -0.50967317 0.50000000 0.00967317 0.01934634 0.99380057
238 238.000000 4.8925296894 66.8685520132 71.7610817026 102.584021 -0.50989661 0.50000000 0.00989661 0.01979322 0.99905558
239 239.000000 4.9060017021 66.8560836590 71.7620853611 102.866495 -0.51019239 0.50000000 0.01019239 0.02038478 1.00574964
240 240.000000 4.8953858318 66.8696876937 71.7650735256 102.643907 -0.51047361 0.50000000 0.01047361 0.02094722 1.01185480
241 241.000000 4.8842650091 66.8834977419 71.7677627510 102.410732 -0.51065170 0.50000000 0.01065170 0.02130340 1.01559800
242 242.000000 4.8993011448 66.8687322359 71.7680333807 102.726002 -0.51066759 0.50000000 0.01066759 0.02133518 1.01592755
243 243.000000 4.9438593893 66.8218016860 71.7656610754 103.660276 -0.51051594 0.50000000 0.01051594 0.02103188 1.01275295
244 244.000000 4.9951164087 66.7673632175 71.7624796262 104.735006 -0.51024749 0.50000000 0.01024749 0.02049498 1.00696517
245 245.000000 5.0270293718 66.7338899737 71.7609193454 105.404141 -0.50994797 0.50000000 0.00994797 0.01989594 1.00023889
246 246.000000 5.0381126353 66.7235386841 71.7616513194 105.636529 -0.50970688 0.50000000 0.00970688 0.01941376 0.99460481
247 247.000000 5.0536986816 66.7090765553 71.7627752369 105.963329 -0.50959174 0.50000000 0.00959174 0.01918349 0.99184104
248 248.000000 5.0960555191 66.6662374433 71.7622929624 106.851445 -0.50963425 0.50000000 0.00963425 0.01926849 0.99286693
249 249.000000 5.1565895669 66.6043415346 71.7609311014 108.120692 -0.50982565 0.50000000 0.00982565 0.01965130 0.99740585
250 250.000000 5.2058260663 66.5553010516 71.7611271179 109.153057 -0.51011793 0.50000000 0.01011793 0.02023586 1.00409162
251 251.000000 5.2284371175 66.5352856587 71.7637227762 109.627154 -0.51043173 0.50000000 0.01043173 0.02086346 1.01096096
252 252.000000 5.2404074762 66.5265632449 71.7669707211 109.878142 -0.51067540 0.50000000 0.01067540 0.02135079 1.01608910
253 253.000000 5.2718732861 66.4965534671 71.7684267532 110.537901 -0.51077439 0.50000000 0.01077439 0.02154878 1.01812379
254 254.000000 5.3375811467 66.4294810880 71.7670622347 111.915629 -0.51070017 0.50000000 0.01070017 0.02140035 1.01660096
255 255.000000 5.4237061382 66.3402721571 71.7639782953 113.721453 -0.51048216 0.50000000 0.01048216 0.02096431 1.01203656
256 256.000000 5.5016693474 66.2598819302 71.7615512776 115.356145 -0.51019514 0.50000000 0.01019514 0.02039028 1.00581062
257 257.000000 5.5565219602 66.2048342136 71.7613561738 116.506266 -0.50993046 0.50000000 0.00993046 0.01986092 0.99983653
258 258.000000 5.6019317876 66.1605777982 71.7625095859 117.458396 -0.50976706 0.50000000 0.00976706 0.01953411 0.99603025
259 259.000000 5.6629575777 66.0998301464 71.7627877241 118.737953 -0.50975304 0.50000000 0.00975304 0.01950607 0.99569930
260 260.000000 5.7442712793 66.0174118131 71.7616830924 120.442896 -0.50989793 0.50000000 0.00989793 0.01979587 0.99908622
261 261.000000 5.8231911277 65.9379507385 71.7611418662 122.097647 -0.51017157 0.50000000 0.01017157 0.02034314 1.00528789
262 262.000000 5.8766558520 65.8862227937 71.7628786457 123.218667 -0.51050831 0.50000000 0.01050831 0.02101662 1.01259139
263 263.000000 5.9082465715 65.8579565655 71.7662031370 123.881045 -0.51081996 0.50000000 0.01081996 0.02163992 1.01905120
264 264.000000 5.9452285037 65.8236105141 71.7688390178 124.656463 -0.51101997 0.50000000 0.01101997 0.02203995 1.02305493
265 265.000000 6.0127242363 65.7563025629 71.7690267992 126.071679 -0.51105331 0.50000000 0.01105331 0.02210661 1.02371184
266 266.000000 6.1118409526 65.6549333764 71.7667743289 128.149906 -0.51091802 0.50000000 0.01091802 0.02183603 1.02102743
267 267.000000 6.2196265535 65.5441408649 71.7637674184 130.409899 -0.51066568 0.50000000 0.01066568 0.02133136 1.01588791
268 268.000000 6.3097697026 65.4523245621 71.7620942647 132.299974 -0.51038070 0.50000000 0.01038070 0.02076139 1.00986460
269 269.000000 6.3761071881 65.3862902349 71.7623974231 133.690904 -0.51015105 0.50000000 0.01015105 0.02030209 1.00483126
270 270.000000 6.4354929062 65.3277559151 71.7632488214 134.936072 -0.51004437 0.50000000 0.01004437 0.02008873 1.00243585
271 271.000000 6.5049480649 65.2580742272 71.7630222920 136.392372 -0.51009491 0.50000000 0.01009491 0.02018982 1.00357532
272 272.000000 6.5788785792 65.1832628980 71.7621414772 137.942509 -0.51029900 0.50000000 0.01029900 0.02059799 1.00809281
273 273.000000 6.6346658105 65.1278371367 71.7625029472 139.112226 -0.51061555 0.50000000 0.01061555 0.02123110 1.01484558
274 274.000000 6.6595100373 65.1054422542 71.7649522915 139.633147 -0.51097204 0.50000000 0.01097204 0.02194407 1.02210511
275 275.000000 6.6663120261 65.1019555022 71.7682675283 139.775768 -0.51127942 0.50000000 0.01127942 0.02255885 1.02809249
276 276.000000 6.6830837081 65.0873175409 71.7704012490 140.127428 -0.51145690 0.50000000 0.01145690 0.02291380 1.03144173
277 277.000000 6.7294417448 65.0406660422 71.7701077870 141.099439 -0.51145933 0.50000000 0.01145933 0.02291867 1.03148711
278 278.000000 6.8013957676 64.9662801035 71.7676758711 142.608134 -0.51129414 0.50000000 0.01129414 0.02258827 1.02837306
279 279.000000 6.8749818435 64.8897111407 71.7646929842 144.151048 -0.51101793 0.50000000 0.01101793 0.02203586 1.02301459
280 280.000000 6.9254012398 64.8375617438 71.7629629836 145.208216 -0.51071526 0.50000000 0.01071526 0.02143052 1.01691181
281 281.000000 6.9466809266 64.8163459740 71.7630269006 145.654397 -0.51047136 0.50000000 0.01047136 0.02094272 1.01180693
282 282.000000 6.9534634834 64.8102360503 71.7636995338 145.796610 -0.51035072 0.50000000 0.01035072 0.02070144 1.00921689
283 283.000000 6.9615065680 64.8020993174 71.7636058854 145.965254 -0.51038557 0.50000000 0.01038557 0.02077114 1.00996956
284 284.000000 6.9680668845 64.7949667786 71.7630336631 146.102807 -0.51057190 0.50000000 0.01057190 0.02114381 1.01393223
285 285.000000 6.9555924488 64.8079409632 71.7635334120 145.841249 -0.51087003 0.50000000 0.01087003 0.02174005 1.02006350
286 286.000000 6.9138864276 64.8519724959 71.7658589235 144.966779 -0.51120995 0.50000000 0.01120995 0.02241991 1.02676041
287 287.000000 6.8545286496 64.9144816356 71.7690102852 143.722196 -0.51150495 0.50000000 0.01150495 0.02300990 1.03233538
288 288.000000 6.8032607843 64.9678966456 71.7711574298 142.647238 -0.51167430 0.50000000 0.01167430 0.02334859 1.03544209
289 289.000000 6.7798990793 64.9911319975 71.7710310768 142.157402 -0.51166949 0.50000000 0.01166949 0.02333899 1.03535490
290 290.000000 6.7834376090 64.9852405360 71.7686781450 142.231596 -0.51149201 0.50000000 0.01149201 0.02298402 1.03209522
291 291.000000 6.7928443544 64.9725931409 71.7654374953 142.428832 -0.51119267 0.50000000 0.01119267 0.02238534 1.02642710
292 292.000000 6.7831125174 64.9800255700 71.7631380874 142.224780 -0.51085310 0.50000000 0.01085310 0.02170620 1.01972201
293 293.000000 6.7453061308 65.0173949865 71.7627011173 141.432075 -0.51055948 0.50000000 0.01055948 0.02111897 1.01367129
294 294.000000 6.6928577350 65.0704385613 71.7632962963 140.332364 -0.51038034 0.50000000 0.01038034 0.02076067 1.00985682
295 295.000000 6.6456520397 65.1177404272 71.7633924669 139.342580 -0.51035365 0.50000000 0.01035365 0.02070730 1.00928029
296 296.000000 6.6074907480 65.1552878494 71.7627785974 138.542434 -0.51048192 0.50000000 0.01048192 0.02096384 1.01203158
297 297.000000 6.5629518440 65.1998842956 71.7628361395 137.608565 -0.51073194 0.50000000 0.01073194 0.02146388 1.01725463
298 298.000000 6.4971864260 65.2674792964 71.7646657224 136.229630 -0.51103894 0.50000000 0.01103894 0.02207788 1.02342910
299 299.000000 6.4149502995 65.3527005945 71.7676508940 134.505346 -0.51131827 0.50000000 0.01131827 0.02263654 1.02883214
300 300.000000 6.3387142019 65.4312724459 71.7699866477 132.906867 -0.51148658 0.50000000 0.01148658 0.02297317 1.03199443
301 301.000000 6.2899113174 65.4802197932 71.7701311106 131.883593 -0.51148845 0.50000000 0.01148845 0.02297690 1.03202910
302 302.000000 6.2711764806 65.4966514948 71.7678279754 131.490771 -0.51131685 0.50000000 0.01131685 0.02263370 1.02880515
303 303.000000 6.2635150867 65.5007892019 71.7643042887 131.330131 -0.51101617 0.50000000 0.01101617 0.02203233 1.02297970
304 304.000000 6.2410614580 65.5204969872 71.7615584452 130.859335 -0.51066569 0.50000000 0.01066569 0.02133137 1.01588808
305 305.000000 6.1931843833 65.5676400503 71.7608244336 129.855473 -0.51035300 0.50000000 0.01035300 0.02070599 1.00926617
306 306.000000 6.1340475459 65.6273418244 71.7613893703 128.615523 -0.51014995 0.50000000 0.01014995 0.02029989 1.00480675
307 307.000000 6.0869833173 65.6745112884 71.7614946057 127.628704 -0.51009806 0.50000000 0.01009806 0.02019612 1.00364609
308 308.000000 6.0581285825 65.7025571708 71.7606857534 127.023693 -0.51020258 0.50000000 0.01020258 0.02040517 1.00597526
309 309.000000 6.0299488246 65.7304913529 71.7604401775 126.432835 -0.51043184 0.50000000 0.01043184 0.02086369 1.01096336
310 310.000000 5.9826197647 65.7795092343 71.7621289990 125.440464 -0.51072124 0.50000000 0.01072124 0.02144248 1.01703479
311 311.000000 5.9173673586 65.8478230759 71.7651904345 124.072285 -0.51098513 0.50000000 0.01098513 0.02197025 1.02236509
312 312.000000 5.8563087293 65.9112963828 71.7676051121 122.792039 -0.51113905 0.50000000 0.01113905 0.02227810 1.02538828
313 313.000000 5.8216087797 65.9460052177 71.7676139974 122.064469 -0.51112788 0.50000000 0.01112788 0.02225575 1.02517091
314 314.000000 5.8150934374 65.9498939597 71.7649873971 121.927859 -0.51094722 0.50000000 0.01094722 0.02189445 1.02161108
315 315.000000 5.8157021765 65.9455388636 71.7612410401 121.940622 -0.51064557 0.50000000 0.01064557 0.02129114 1.01547070
316 316.000000 5.7976285750 65.9610195996 71.7586481746 121.561664 -0.51030555 0.50000000 0.01030555 0.02061111 1.00823581
317 317.000000 5.7550081101 66.0033068498 71.7583149600 120.668021 -0.51001540 0.50000000 0.01001540 0.02003080 1.00177896
318 318.000000 5.7085481251 66.0504947589 71.7590428840 119.693872 -0.50984433 0.50000000 0.00984433 0.01968865 0.99784172
319 319.000000 5.6829661440 66.0759204937 71.7588866376 119.157482 -0.50982843 0.50000000 0.00982843 0.01965687 0.99747085
320 320.000000 5.6783783011 66.0794801199 71.7578584210 119.061287 -0.50996549 0.50000000 0.00996549 0.01993098 1.00064048
321 321.000000 5.6705106746 66.0874095786 71.7579202533 118.896322 -0.51021507 0.50000000 0.01021507 0.02043015 1.00625124
322 322.000000 5.6396596522 66.1205837839 71.7602434361 118.249454 -0.51050445 0.50000000 0.01050445 0.02100889 1.01250960
323 323.000000 5.5930751294 66.1705364441 71.7636115735 117.272694 -0.51074398 0.50000000 0.01074398 0.02148795 1.01750158
324 324.000000 5.5570760519 66.2085239677 71.7656000197 116.517884 -0.51085349 0.50000000 0.01085349 0.02170698 1.01972989
325 325.000000 5.5505676313 66.2140890925 71.7646567237 116.381419 -0.51079170 0.50000000 0.01079170 0.02158339 1.01847661
326 326.000000 5.5666692917 66.1945925975 71.7612618891 116.719030 -0.51057338 0.50000000 0.01057338 0.02114675 1.01396311
327 327.000000 5.5786824519 66.1789698368 71.7576522886 116.970916 -0.51026343 0.50000000 0.01026343 0.02052687 1.00731513
328 328.000000 5.5661326968 66.1899457507 71.7560784475 116.707779 -0.50995147 0.50000000 0.00995147 0.01990294 1.00031925
329 329.000000 5.5370043994 66.2196247505 71.7566291499 116.097032 -0.50972175 0.50000000 0.00972175 0.01944350 0.99495829
330 330.000000 5.5201337693 66.2370725534 71.7572063227 115.743298 -0.50963147 0.50000000 0.00963147 0.01926294 0.99280017
331 331.000000 5.5319829819 66.2244344398 71.7564174217 115.991746 -0.50970034 0.50000000 0.00970034 0.01940069 0.99444921
332 332.000000 5.5567949770 66.1988044067 71.7555993837 116.511991 -0.50990791 0.50000000 0.00990791 0.01981581 0.99931663
333 333.000000 5.5656949146 66.1912060939 71.7569010085 116.698600 -0.51019615 0.50000000 0.01019615 0.02039231 1.00583303
334 334.000000 5.5505041886 66.2097929833 71.7602971719 116.380089 -0.51048008 0.50000000 0.01048008 0.02096015 1.01199233
335 335.000000 5.5322199032 66.2312636315 71.7634835347 115.996713 -0.51066985 0.50000000 0.01066985 0.02133970 1.01597431
336 336.000000 5.5383028350 66.2257919914 71.7640948264 116.124257 -0.51070162 0.50000000 0.01070162 0.02140325 1.01663089
337 337.000000 5.5752433959 66.1863757417 71.7616191376 116.898808 -0.51056335 0.50000000 0.01056335 0.02112669 1.01375247
338 338.000000 5.6224033510 66.1353764581 71.7577798091 117.887633 -0.51030005 0.50000000 0.01030005 0.02060009 1.00811572
339 339.000000 5.6525351243 66.1027007283 71.7552358526 118.519420 -0.50999506 0.50000000 0.00999506 0.01999011 1.00131594
340 340.000000 5.6606167317 66.0945567311 71.7551734629 118.688871 -0.50973908 0.50000000 0.00973908 0.01947815 0.99536905
341 341.000000 5.6703373338 66.0857438907 71.7560812246 118.892688 -0.50960323 0.50000000 0.00960323 0.01920646 0.99211887
342 342.000000 5.7068092400 66.0490326085 71.7558418485 119.657412 -0.50962382 0.50000000 0.00962382 0.01924763 0.99261580
343 343.000000 5.7657545044 65.9890429600 71.7547974643 120.893345 -0.50979689 0.50000000 0.00979689 0.01959377 0.99673200
344 344.000000 5.8183369498 65.9369340083 71.7552709580 121.995867 -0.51007869 0.50000000 0.01007869 0.02015738 1.00321064
345 345.000000 5.8455899860 65.9126806679 71.7582706539 122.567294 -0.51039267 0.50000000 0.01039267 0.02078533 1.01012244
346 346.000000 5.8597869550 65.9023083146 71.7620952696 122.864969 -0.51064703 0.50000000 0.01064703 0.02129406 1.01550096
347 347.000000 5.8908440950 65.8732273325 71.7640714274 123.516159 -0.51076349 0.50000000 0.01076349 0.02152699 1.01790115
348 348.000000 5.9564316899 65.8064231539 71.7628548438 124.891366 -0.51070721 0.50000000 0.01070721 0.02141443 1.01674611
349 349.000000 6.0458025685 65.7135780652 71.7593806337 126.765248 -0.51050144 0.50000000 0.01050144 0.02100288 1.01244587
350 350.000000 6.1308831261 65.6252658030 71.7561489290 128.549173 -0.51021750 0.50000000 0.01021750 0.02043500 1.00630479
351 351.000000 6.1945224915 65.5606162511 71.7551387426 129.883530 -0.50994679 0.50000000 0.00994679 0.01989359 1.00021195
352 352.000000 6.2483059886 65.5075817630 71.7558877516 131.011234 -0.50977100 0.50000000 0.00977100 0.01954201 0.99612328
353 353.000000 6.3182286797 65.4380195350 71.7562482148 132.477337 -0.50974223 0.50000000 0.00974223 0.01948445 0.99544363
354 354.000000 6.4120639451 65.3433931922 71.7554571373 134.444826 -0.50987426 0.50000000 0.00987426 0.01974852 0.99853791
355 355.000000 6.5085270761 65.2467502005 71.7552772766 136.467415 -0.51014093 0.50000000 0.01014093 0.02028186 1.00460564
356 356.000000 6.5824211648 65.1750643208 71.7574854857 138.016788 -0.51047964 0.50000000 0.01047964 0.02095929 1.01198316
357 357.000000 6.6340220187 65.1274268097 71.7614488284 139.098728 -0.51080335 0.50000000 0.01080335 0.02160670 1.01871379
358 358.000000 6.6894044291 65.0753380209 71.7647424500 140.259957 -0.51102374 0.50000000 0.01102374 0.02204749 1.02312939
359 359.000000 6.7754307458 64.9899144059 71.7653451517 142.063712 -0.51108132 0.50000000 0.01108132 0.02216265 1.02426170
360 360.000000 6.8962408027 64.8668325967 71.7630733994 144.596795 -0.51096854 0.50000000 0.01096854 0.02193709 1.02203569
361 361.000000 7.0308832972 64.7287128275 71.7595961247 147.419909 -0.51073255 0.50000000 0.01073255 0.02146510 1.01726719
362 362.000000 7.1525456194 64.6046465867 71.7571922061 149.970861 -0.51045600 0.50000000 0.01045600 0.02091200 1.01147957
363 363.000000 7.2524801612 64.5043706458 71.7568508070 152.066237 -0.51022793 0.50000000 0.01022793 0.02045586 1.00653478
364 364.000000 7.3450966023 64.4123470060 71.7574436084 154.008170 -0.51011898 0.50000000 0.01011898 0.02023796 1.00411507
365 365.000000 7.4470528022 64.3103248131 71.7573776153 156.145935 -0.51016738 0.50000000 0.01016738 0.02033477 1.00519485
366 366.000000 7.5538044249 64.2030916397 71.7568960646 158.384247 -0.51037386 0.50000000 0.01037386 0.02074771 1.00971702
367 367.000000 7.6427227405 64.1150412901 71.7577640306 160.248641 -0.51070159 0.50000000 0.01070159 0.02140319 1.01663026
368 368.000000 7.6988694952 64.0619656316 71.7608351268 161.425896 -0.51108139 0.50000000 0.01108139 0.02216277 1.02426293
369 369.000000 7.7324509085 64.0324403338 71.7648912424 162.130014 -0.51142504 0.50000000 0.01142504 0.02285008 1.03084612
370 370.000000 7.7705788178 63.9971947170 71.7677735348 162.929460 -0.51164866 0.50000000 0.01164866 0.02329732 1.03497607
371 371.000000 7.8347678829 63.9332654656 71.7680333485 164.275343 -0.51169983 0.50000000 0.01169983 0.02339966 1.03590482
372 372.000000 7.9246668504 63.8410628079 71.7657296583 166.160298 -0.51157642 0.50000000 0.01157642 0.02315284 1.03365466
373 373.000000 8.0188613778 63.7434230973 71.7622844750 168.135320 -0.51132661 0.50000000 0.01132661 0.02265323 1.02899056
374 374.000000 8.0908598052 63.6687245946 71.7595843998 169.644946 -0.51103056 0.50000000 0.01103056 0.02206112 1.02326388
375 375.000000 8.1283283926 63.6303119032 71.7586402958 170.430568 -0.51077414 0.50000000 0.01077414 0.02154828 1.01811865
376 376.000000 8.1392871086 63.6195733219 71.7588604304 170.660344 -0.51062668 0.50000000 0.01062668 0.02125336 1.01507771
377 377.000000 8.1385244264 63.6204837087 71.7590081351 170.644353 -0.51062795 0.50000000 0.01062795 0.02125591 1.01510421
378 378.000000 8.1284321990 63.6305024411 71.7589346401 170.432744 -0.51078308 0.50000000 0.01078308 0.02156616 1.01830107
379 379.000000 8.0964771810 63.6633013101 71.7597784911 169.762728 -0.51106216 0.50000000 0.01106216 0.02212431 1.02388574
380 380.000000 8.0319355303 63.7304334212 71.7623689514 168.409452 -0.51140395 0.50000000 0.01140395 0.02280790 1.03045043
381 381.000000 7.9418357761 63.8241907711 71.7660265473 166.520287 -0.51172624 0.50000000 0.01172624 0.02345249 1.03638187
382 382.000000 7.8492964958 63.9197292503 71.7690257460 164.579972 -0.51194495 0.50000000 0.01194495 0.02388990 1.04027272
383 383.000000 7.7774949490 63.9923409614 71.7698359104 163.074474 -0.51199890 0.50000000 0.01199890 0.02399780 1.04121645
384 384.000000 7.7336790872 64.0343230368 71.7680021239 162.155766 -0.51187076 0.50000000 0.01187076 0.02374152 1.03896462
385 385.000000 7.7044400862 64.0599377685 71.7643778547 161.542698 -0.51159346 0.50000000 0.01159346 0.02318692 1.03396739
386 386.000000 7.6652946481 64.0954280066 71.7607226547 160.721917 -0.51123837 0.50000000 0.01123837 0.02247675 1.02730685
387 387.000000 7.5990981933 64.1595266850 71.7586248783 159.333944 -0.51089191 0.50000000 0.01089191 0.02178382 1.02050385
388 388.000000 7.5096291106 64.2486536690 71.7582827796 157.458002 -0.51063165 0.50000000 0.01063165 0.02126331 1.01518126
389 389.000000 7.4166213593 64.3418690300 71.7584903893 155.507864 -0.51051006 0.50000000 0.01051006 0.02102012 1.01262848
390 390.000000 7.3348650260 64.4233963040 71.7582613301 153.793640 -0.51054671 0.50000000 0.01054671 0.02109343 1.01340253
391 391.000000 7.2594063742 64.4987519797 71.7581583539 152.211462 -0.51072628 0.50000000 0.01072628 0.02145256 1.01713843
392 392.000000 7.1738204024 64.5856462608 71.7594666633 150.416940 -0.51100020 0.50000000 0.01100020 0.02200039 1.02266382
393 393.000000 7.0713158933 64.6910675017 71.7623833950 148.267679 -0.51129359 0.50000000 0.01129359 0.02258719 1.02836272
394 394.000000 6.9648087678 64.8007283647 71.7655371325 146.034492 -0.51152070 0.50000000 0.01152070 0.02304140 1.03262717
395 395.000000 6.8769813223 64.8900728903 71.7670542126 144.192972 -0.51160851 0.50000000 0.01160851 0.02321702 1.03424311
396 396.000000 6.8214375164 64.9444115447 71.7658490611 143.028359 -0.51152138 0.50000000 0.01152138 0.02304276 1.03263974
397 397.000000 6.7909811253 64.9713145642 71.7622956895 142.389765 -0.51127462 0.50000000 0.01127462 0.02254925 1.02800086
398 398.000000 6.7619773410 64.9961295288 71.7581068699 141.781628 -0.51092909 0.50000000 0.01092909 0.02185817 1.02124894
399 399.000000 6.7129437036 65.0423521605 71.7552958641 140.753517 -0.51056967 0.50000000 0.01056967 0.02113933 1.01388528
400 400.000000 6.6435328089 65.1110433420 71.7545761509 139.298145 -0.51027917 0.50000000 0.01027917 0.02055834 1.00765972
401 401.000000 6.5747900948 65.1799733022 71.7547633969 137.856784 -0.51011815 0.50000000 0.01011815 0.02023631 1.00409660
402 402.000000 6.5266047565 65.2277846231 71.7543893797 136.846458 -0.51011430 0.50000000 0.01011430 0.02022860 1.00401027
403 403.000000 6.4955071367 65.2582408174 71.7537479541 136.194420 -0.51025886 0.50000000 0.01025886 0.02051771 1.00721475
404 404.000000 6.4591739227 65.2952913592 71.7544652819 135.432604 -0.51050752 0.50000000 0.01050752 0.02101504 1.01257473
405 405.000000 6.4022554596 65.3549398186 71.7571952782 134.239167 -0.51078671 0.50000000 0.01078671 0.02157342 1.01837508
406 406.000000 6.3333413921 65.4272306331 71.7605720253 132.794213 -0.51100892 0.50000000 0.01100892 0.02201783 1.02283640
407 407.000000 6.2763019572 65.4860489876 71.7623509448 131.598239 -0.51109776 0.50000000 0.01109776 0.02219551 1.02458328
408 408.000000 6.2473252496 65.5138154217 71.7611406712 130.990671 -0.51101512 0.50000000 0.01101512 0.02203023 1.02295899
409 409.000000 6.2393709868 65.5180061206 71.7573771074 130.823890 -0.51077661 0.50000000 0.01077661 0.02155323 1.01816916
410 410.000000 6.2272642882 65.5258830361 71.7531473242 130.570043 -0.51044574 0.50000000 0.01044574 0.02089148 1.01126058
411 411.000000 6.1906579970 65.5600698600 71.7507278571 129.802501 -0.51011008 0.50000000 0.01011008 0.02022016 1.00391579
412 412.000000 6.1352250959 65.6153332534 71.7505583493 128.640213 -0.50985290 0.50000000 0.00985290 0.01970580 0.99804144
413 413.000000 6.0881296871 65.6627712367 71.7509009238 127.652741 -0.50973209 0.50000000 0.00973209 0.01946418 0.99520351
414 414.000000 6.0680464432 65.6822258199 71.7502722631 127.231646 -0.50976966 0.50000000 0.00976966 0.01953933 0.99609171
415 415.000000 6.0633689118 65.6862346114 71.7496035233 127.133570 -0.50994877 0.50000000 0.00994877 0.01989753 1.00025721
416 416.000000 6.0461084847 65.7047815261 71.7508900108 126.771662 -0.51021561 0.50000000 0.01021561 0.02043122 1.00626311
417 417.000000 6.0043174814 65.7500055522 71.7543230336 125.895410 -0.51048856 0.50000000 0.01048856 0.02097711 1.01217252
418 418.000000 5.9547085731 65.8030714920 71.7577800651 124.855236 -0.51067817 0.50000000 0.01067817 0.02135633 1.01614643
419 419.000000 5.9243665211 65.8343921471 71.7587586682 124.219040 -0.51071656 0.50000000 0.01071656 0.02143311 1.01693846
420 420.000000 5.9233827667 65.8329977437 71.7563805104 124.198413 -0.51058419 0.50000000 0.01058419 0.02116838 1.01418989
421 421.000000 5.9347125479 65.8173589033 71.7520714512 124.435970 -0.51031849 0.50000000 0.01031849 0.02063697 1.00851737
422 422.000000 5.9306116656 65.8179774914 71.7485891570 124.349985 -0.50999845 0.50000000 0.00999845 0.01999690 1.00139330
423 423.000000 5.9018868213 65.8457863288 71.7476731501 123.747697 -0.50971493 0.50000000 0.00971493 0.01942986 0.99479630
424 424.000000 5.8699024884 65.8784098203 71.7483123087 123.077066 -0.50954261 0.50000000 0.00954261 0.01908522 0.99064671
425 425.000000 5.8635316060 65.8847096249 71.7482412308 122.943485 -0.50952299 0.50000000 0.00952299 0.01904598 0.99016727
426 426.000000 5.8847571499 65.8625071760 71.7472643259 123.388531 -0.50965773 0.50000000 0.00965773 0.01931546 0.99343087
427 427.000000 5.9060455260 65.8415268494 71.7475723755 123.834895 -0.50990829 0.50000000 0.00990829 0.01981658 0.99932546
428 428.000000 5.9033663037 65.8471629415 71.7505292452 123.778718 -0.51020178 0.50000000 0.01020178 0.02040356 1.00595746
429 429.000000 5.8834169950 65.8712358176 71.7546528126 123.360431 -0.51044706 0.50000000 0.01044706 0.02089411 1.01128866
430 430.000000 5.8751465645 65.8818938077 71.7570403722 123.187021 -0.51056267 0.50000000 0.01056267 0.02112534 1.01373828
431 431.000000 5.8991324969 65.8568036054 71.7559361023 123.689946 -0.51050800 0.50000000 0.01050800 0.02101600 1.01258482
432 432.000000 5.9472334488 65.8048416459 71.7520750947 124.698502 -0.51030075 0.50000000 0.01030075 0.02060151 1.00813117
433 433.000000 5.9910933571 65.7570616498 71.7481550069 125.618134 -0.51000938 0.50000000 0.01000938 0.02001876 1.00164202
